factor,change_up,sensitivity_score
Curvature,0.1277838432001655,3.833515296004965
Elevation,0.12735859598513916,3.820757879554175
Aspect,0.1265794305636358,3.797382916909074
NDVI,0.1265240152052191,3.795720456156573
TWI,0.12782151304979708,2.5564302609959415
Rainfall,0.12776822741496086,1.916523411224413
Population Density,0.12898121089730893,1.547774530767707
Building Type,0.12764644475445158,1.531757337053419
Slope,0.12699939396079185,1.5239927275295022
Distance to Settlements,0.12748740027672745,1.0927491452290925
Land Use,0.12746165689596706,1.0925284876797179
Soil Type,0.12886449404626604,0.9664837053469953
Distance to Roads,0.12864205363708733,0.964815402278155
